identifier;coord1_ICRS,J2000/2000_;MagB;MagV;MagR
* bet Cas;00 09 10.68518 +59 08 59.2120;2.61;2.27;1.97
HD 1239;00 16 57.0431385504 +61 31 59.468659896;6.634;5.737;nan
V* V567 Cas;00 05 06.1508805192 +61 18 50.292327564;5.71;5.791;nan
HD 224893;00 01 37.0160378616 +61 13 22.079486208;5.966;5.567;nan
HD 3283;00 36 27.3446327760 +60 19 34.367545740;6.053;5.792;nan
HD 2626;00 30 19.9344223392 +59 58 39.189476856;5.95;5.94;nan
HD 5015;00 53 04.1964421920 +61 07 26.299289856;5.34;4.8;4.32
HD 5408;00 56 46.97166 +60 21 46.2192;5.5;5.566;nan
* ups01 Cas;00 55 00.1557027792 +58 58 21.717145956;6.042;4.82;nan
* ups02 Cas;00 56 39.9051464088 +59 10 51.805287084;5.581;4.622;nan
* gam Cas;00 56 42.5310945 +60 43 00.264089;2.29;2.39;2.32
HD 6676;01 08 33.4662629952 +58 15 48.425007852;5.744;5.767;nan
* chi Cas;01 33 55.8814773504 +59 13 55.394091516;5.675;4.681;nan
HD 9353;01 33 25.7075838384 +58 19 38.449163964;7.153;5.709;nan
* phi Cas;01 20 04.9164665856 +58 13 53.807643876;5.66;4.98;4.34
HD 9900;01 38 07.5665016360 +57 58 39.475310304;6.921;5.536;nan
* i Per;02 22 21.4343107056 +55 50 44.350353276;5.54;5.17;4.79
HD 16735;02 42 59.5232301744 +53 31 33.986370504;6.987;5.835;nan
* tau Per;02 54 15.4777208304 +52 45 44.882735292;4.71;3.96;3.33
HD 18537;03 00 52.2110264304 +52 21 06.248122308;5.158;5.219;nan
* 29 Per;03 18 37.7416927200 +50 13 19.834697676;5.074;5.157;nan
* 31 Per;03 19 07.6392847536 +50 05 41.889763428;4.962;5.032;nan
* sig Per;03 30 34.4853660216 +47 59 42.778854240;5.71;4.36;nan
HD 21551;03 30 36.9521337744 +48 06 12.973490460;5.78;5.82;nan
HD 21699;03 32 08.6084197968 +48 01 24.528548676;5.355;5.461;nan
HD 19845;03 13 23.8723102200 +48 10 37.040462112;6.915;5.913;nan
HD 20809;03 23 13.1970566400 +49 12 47.774817972;5.23;5.3;nan
Cl Melotte 20 772;03 27 58.9118912976 +49 01 10.301866968;nan;4.989;nan
* 36 Per;03 32 26.2592647368 +46 03 24.701606568;5.73;5.32;4.91
HD 23300;03 45 59.2599323352 +45 40 54.837597144;5.565;5.655;nan
HD 23838;03 50 04.4251512960 +44 58 04.328639760;6.417;5.657;nan
V* V376 Per;03 49 08.1097674384 +43 57 47.301643260;6.23;5.97;nan
HD 189684;19 59 20.4240504504 +45 46 21.149697252;6.094;5.933;nan
* 30 Cyg;20 13 18.0538639656 +46 48 56.430951948;4.911;4.819;nan
* omi02 Cyg;20 15 28.3242122880 +47 42 51.213932496;5.5;3.98;2.78
* 43 Cyg;20 27 02.2674936096 +49 23 00.104394552;6.024;5.715;nan
* ome01 Cyg;20 30 03.5409459288 +48 57 05.640569208;4.835;4.936;nan
* ome02 Cyg;20 31 18.8165476392 +49 13 13.063792944;6.99;5.44;nan
V* U Cyg;20 19 36.5946317760 +47 53 39.096681828;11.85;5.9;7.09
HD 202987;21 17 14.2473299064 +55 47 52.805982876;7.43;5.975;nan
HD 206267;21 38 57.6195772032 +57 29 20.554016280;5.83;5.62;nan
* mu. Cep;21 43 30.4610574 +58 46 48.160181;6.43;4.08;1.98
HD 210939;22 12 02.0156316240 +60 45 32.752286424;6.544;5.359;nan
* lam Cep;22 11 30.5765111040 +59 24 52.154264880;5.29;5.05;4.77
HD 216380A;22 51 22.6292242752 +61 41 48.269322384;6.801;5.931;nan
* 4 Cas;23 24 50.2623747 +62 16 58.109355;6.592;4.955;nan
* 10 Cas;00 06 26.5373262768 +64 11 46.168691820;5.56;5.59;nan
* 9 Cas;00 04 13.6624530168 +62 17 15.591230916;6.154;5.884;nan
* 12 Cas;00 24 47.5054725480 +61 49 51.808098288;5.375;5.377;nan
* kap Cas;00 32 59.9911963 +62 55 54.417374;4.3;4.16;4.02
HD 6210;01 04 19.4510863152 +61 34 48.662237964;6.386;5.833;nan
* del Cas;01 25 48.9514709 +60 14 07.022507;2.81;2.68;2.53
* 44 Cas;01 43 19.7566701600 +60 33 04.796911692;5.76;5.76;nan
HD 12953;02 08 40.5790963584 +58 25 24.970714608;6.29;5.68;5.09
* 8 Per;02 17 59.8872270144 +57 53 59.356756392;6.951;5.748;nan
* 11 Per;02 43 02.8380253536 +55 06 21.666195864;5.639;5.753;nan
* eta Per;02 50 41.8095904 +55 53 43.787576;5.48;3.79;2.56
* gam Per;03 04 47.7907410 +53 30 23.168725;3.63;2.93;2.34
HD 20123;03 16 12.2028107016 +50 56 15.605186388;6.18;5.03;nan
* alf Per;03 24 19.3700924 +49 51 40.245455;2.27;1.79;nan
HD 21362;03 28 52.3279117200 +49 50 54.188026800;5.513;5.572;nan
* 34 Per;03 29 22.0494961351 +49 30 32.230623601;4.61;4.735;nan
HD 21278;03 28 03.0707602272 +49 03 46.325803896;4.89;4.97;nan
* psi Per;03 36 29.3798227 +48 11 33.478941;4.17;4.23;nan
* del Per;03 42 55.5042561 +47 47 15.174633;2.89;3.01;2.99
* 14 Cyg;19 39 26.4926212920 +42 49 05.741064084;5.32;5.4;nan
HD 188209;19 51 59.0687638680 +47 01 38.419078944;5.55;5.63;5.54
* del Cyg;19 44 58.4785413 +45 07 50.916066;2.85;2.87;2.88
HD 186155;19 40 50.1834564055 +45 31 29.788145729;5.47;5.06;nan
HD 188252;19 52 07.1662436976 +47 55 54.461806320;5.722;5.897;nan
* e Cyg;20 01 21.5633865408 +50 06 16.895812680;6.17;5.048;nan
V* V414 Cep;20 44 22.0517095896 +56 29 18.258708552;7.6;5.95;nan
HD 200205;20 59 25.3846975896 +59 26 18.960547380;6.942;5.526;nan
HD 203338;21 19 15.6852148728 +58 37 24.624258456;7.09;5.75;4.26
* nu. Cep;21 45 26.9247788 +61 07 14.899897;4.81;4.29;3.79
HD 205139;21 30 59.2916490744 +60 27 33.954560208;5.604;5.522;nan
* 12 Cep;21 47 25.2953357808 +60 41 33.679451364;7.056;5.514;nan
* 9 Cep;21 37 55.2241394424 +62 04 54.990376788;5.03;4.73;4.42
HD 209112;21 58 53.5232440200 +62 41 52.757357064;7.592;5.979;nan
HD 207198;21 44 53.2791389640 +62 27 38.048647248;6.25;5.94;5.66
* 19 Cep;22 05 08.7897533088 +62 16 47.332569936;5.19;5.11;4.95
V* VV Cep;21 56 39.1438495 +63 37 32.017439;6.65;4.9;3.19
HD 211029;22 12 22.4490606144 +63 17 27.725834760;7.382;5.778;nan
* 25 Cep;22 18 12.6478522512 +62 48 15.804136584;7.01;5.741;nan
* 18 Cep;22 03 52.9770442632 +63 07 11.715055428;6.767;5.3;nan
* 20 Cep;22 05 00.4988376072 +62 47 08.416311036;6.699;5.265;nan
* ksi Cep;22 03 47.45499 +64 37 40.7128;4.63;4.29;3.97
* 26 Cep;22 27 05.3104700184 +65 07 56.160347196;5.806;5.515;nan
* 30 Cep;22 38 39.0517588680 +63 35 04.096947876;5.254;5.188;nan
* iot Cep;22 49 40.8169435 +66 12 01.463616;4.6;3.54;2.69
HD 223128;23 46 36.7365639936 +66 46 56.081325468;5.883;5.937;nan
HD 225216;00 04 41.9813008512 +67 09 59.202435852;6.741;5.676;nan
HD 225009;00 02 36.0926537328 +66 05 56.268043296;6.912;5.842;nan
HD 3856;00 42 03.4206195912 +66 08 51.335930688;6.866;5.821;nan
HD 4775;00 50 43.5977451408 +64 14 51.249546240;5.868;5.362;nan
HD 5550;00 58 31.0619888328 +66 21 06.457611996;5.95;5.97;nan
* 32 Cas;01 11 41.4024150336 +65 01 07.873790052;5.487;5.564;nan
HD 6960;01 11 25.5710702328 +64 12 09.640350540;5.488;5.548;nan
HD 10780;01 47 44.8344358038 +63 51 09.011001993;6.44;5.63;4.99
* eps Cas;01 54 23.7340861680 +63 40 12.360238788;3.22;3.37;3.4
HD 20041;03 15 47.9705004096 +57 08 26.243459556;6.52;5.79;nan
* k Per;03 05 32.4115072032 +56 42 20.587724352;5.794;4.766;nan
HD 21447;03 30 00.1828170168 +55 27 06.506069256;5.14;5.09;5.01
HD 21819;03 33 39.0599978496 +54 58 29.497029888;6.074;5.969;nan
HD 24240;03 53 38.6973079584 +48 39 01.788636672;6.81;5.76;nan
HD 24504;03 55 58.1738380032 +47 52 17.123015028;5.297;5.379;nan
* c Per;04 08 39.6921578 +47 42 45.042937;4;4.03;3.91
HD 185351;19 36 37.9768465728 +44 41 41.761562352;6.109;5.169;nan
HD 182694;19 23 56.5004975856 +43 23 17.407385700;6.779;5.853;nan
* psi Cyg;19 55 37.7885799288 +52 26 20.180456736;5.12;5.02;nan
* 33 Cyg;20 13 23.8666139 +56 34 03.799925;4.384;4.271;nan
HD 195554;20 29 27.1108477224 +56 04 05.490194052;5.846;5.912;nan
* alf Cep;21 18 34.77233 +62 35 08.0681;2.68;2.46;2.22
* 6 Cep;21 19 22.2202464 +64 52 18.682115;5.14;5.18;nan
HD 208682;21 55 30.99976 +65 19 14.9142;5.8;5.86;nan
HD 218029;23 03 32.8824892536 +67 12 33.158391444;6.481;5.23;nan
HD 223274;23 47 54.7708751688 +67 48 24.512513328;5.041;5.044;nan
* 31 Cas;01 10 39.3224064744 +68 46 43.041646164;5.28;5.309;nan
* psi Cas;01 25 56.0223813 +68 07 48.045998;5.78;4.727;nan
* 43 Cas;01 42 20.5269432072 +68 02 34.890489276;5.52;5.59;nan
HD 11946;01 59 38.0376593064 +64 37 17.760134928;5.273;5.278;nan
* 53 Cas;02 03 00.1876117560 +64 23 24.064866924;5.93;5.614;nan
* 52 Cas;02 02 52.4758999152 +64 54 05.270442264;6.012;5.986;nan
HD 17948;02 55 56.9208409368 +61 31 16.094508276;6.001;5.584;nan
C 0255+602;02 59 18.0 +60 24 00;nan;5.9;nan
HD 21389;03 29 54.7436040912 +58 52 43.496880384;5.1;4.54;4.03
* lam Per;04 06 35.0435954 +50 21 04.549959;4.31;4.29;4.21
* mu. Per;04 14 53.8625277 +48 24 33.591168;5.12;4.16;3.38
* d Per;04 21 33.1662438000 +46 29 55.964841936;4.757;4.812;nan
HD 184293;19 31 19.3307715408 +50 18 24.138385416;6.814;5.54;nan
* tet Cyg;19 36 26.5330717650 +50 13 15.965003998;4.86;4.48;4.13
V* V1743 Cyg;19 33 41.6060468328 +49 15 44.347514508;7.6;5.96;nan
* 16 Cyg A;19 41 48.9534996168 +50 31 30.219536784;6.59;5.95;5.5
* d Cyg;19 50 37.7235287221 +52 59 16.790345304;6.31;5.03;nan
HD 192781;20 13 27.6162878448 +60 38 26.050279164;7.281;5.78;nan
* tet Cep;20 29 34.9052664336 +62 59 38.797205460;4.42;4.22;4.05
* eta Cep;20 45 17.3755540 +61 50 19.616737;4.32;3.41;2.76
* 7 Cep;21 27 46.1418220704 +66 48 32.749138404;5.299;5.41;nan
HD 210884;22 10 38.7894437040 +70 07 57.268863804;5.88;5.52;nan
HD 213022;22 26 00.8234699928 +70 46 15.252263184;6.689;5.469;nan
HD 220974;23 27 16.6294176888 +70 21 35.217101376;5.76;5.6;nan
V* V388 Cep;23 15 37.7393154216 +70 53 17.094451632;5.8;5.55;nan
HD 221861;23 34 59.0427914904 +71 38 31.359003828;7.64;5.84;nan
HD 4440;00 48 09.1027214832 +72 40 28.188023664;6.874;5.855;nan
HD 7389;01 16 11.9019176448 +71 44 37.825280484;7.78;5.86;nan
* 42 Cas;01 42 55.8632768160 +70 37 21.092102580;5.143;5.174;nan
* ome Cas;01 56 00.0283006680 +68 41 06.863913852;4.874;4.968;nan
HD 16769;02 44 49.6970326656 +67 49 28.672325868;6.059;5.945;nan
HD 16024;02 37 36.0690716208 +65 44 43.209496752;7.334;5.781;nan
HD 19065;03 07 18.9785125632 +64 03 27.478027080;5.859;5.877;nan
HD 21291;03 29 04.1328896160 +59 56 25.201164588;4.63;4.22;3.84
HD 22764;03 42 42.7369929720 +59 58 09.802899408;7.54;5.78;4.46
HD 24141;03 53 43.2862495392 +57 58 30.526296888;5.967;5.786;nan
HD 26764;04 16 43.0917102168 +53 36 42.480779580;5.231;5.187;nan
* b02 Per;04 20 11.5125754224 +50 55 15.365023320;5.507;5.545;nan
HD 27084;04 19 13.2132944256 +50 02 55.350197772;5.67;5.4;nan
* b Per;04 18 14.6214589094 +50 17 43.775037161;4.639;4.594;nan
* 59 Per;04 42 54.3364299960 +43 21 54.432760320;5.319;5.298;nan
* iot01 Cyg;19 27 25.9593028584 +52 19 13.577767572;5.75;5.75;nan
* iot Cyg;19 29 42.3587204 +51 43 47.205830;3.899;3.755;nan
* 23 Cyg;19 53 17.3781586824 +57 31 24.506900436;5.001;5.132;nan
HD 189276;19 55 55.3786911120 +58 50 45.487067280;6.51;4.96;3.56
* 71 Dra;20 19 36.7272071568 +62 15 26.797556412;5.66;5.709;nan
* 66 Dra;20 05 32.8779525960 +61 59 43.513091952;6.6;5.408;nan
* 68 Dra;20 11 34.8718185624 +62 04 42.771751284;6.205;5.7;nan
HD 194298;20 21 11.5242408336 +63 58 48.422618040;7.25;5.69;nan
* 4 Cep;20 43 11.0211392808 +66 39 26.810352432;5.81;5.6;nan
* bet Cep;21 28 39.5968513 +70 33 38.574681;3.01;3.23;3.33
* 78 Dra;21 43 04.0432859016 +72 19 12.307929132;6.234;5.173;nan
* 24 Cep;22 09 48.4306626240 +72 20 28.339730448;5.707;4.786;nan
* pi. Cep;23 07 53.85377 +75 23 14.9951;5.21;4.41;nan
* pi. Cep A;23 07 53.8713362280 +75 23 15.039087324;5.57;4.61;nan
HD 219485;23 14 37.1050796664 +74 13 52.577578380;5.87;5.89;nan
HD 222386;23 39 10.1743271688 +75 17 34.373610168;6.046;5.946;nan
HD 222387;23 39 21.1373683176 +74 00 09.639206568;6.867;5.973;nan
* 23 Cas;00 47 46.0538925192 +74 50 51.251241300;5.338;5.413;nan
* 21 Cas;00 45 39.0765692400 +74 59 17.054172672;5.717;5.652;nan
* 40 Cas;01 38 30.9179034432 +73 02 24.137576448;6.256;5.281;nan
Cl Collinder 463;01 48 07.4 +71 44 17;6.29;5.7;nan
* 48 Cas;02 01 57.45035 +70 54 25.2902;4.7;4.54;4.36
* 48 Cas A;02 01 57.436802 +70 54 25.43225;4.75;4.63;nan
* 50 Cas;02 03 26.1061810 +72 25 16.657747;3.953;3.938;nan
V* SU Cas;02 51 58.7511911208 +68 53 18.606894036;6.44;5.8;nan
HD 20336;03 19 59.2693390128 +65 39 08.285606820;4.7;4.85;4.88
V* CQ Cam;03 24 40.5567179496 +64 35 09.579866928;7.24;5.19;3.61
HD 23523;03 49 36.5859186816 +63 17 49.051788468;6.006;5.817;nan
HD 24479;03 57 25.4445994728 +63 04 20.149755960;4.94;5.04;4.97
HD 23089;03 46 02.3314926384 +63 20 42.211540464;5.559;4.81;nan
