identifier;coord1_ICRS,J2000/2000_;MagB;MagV;MagR
* 41 Cyg;20 29 23.7356120 +30 22 06.796777;4.42;4.01;3.65
V* T Vul;20 51 28.2383768376 +28 15 01.819622952;6.49;5.77;nan
* 32 Vul;20 54 33.6391752552 +28 03 27.445294476;6.49;5.01;nan
* 31 Vul;20 52 07.6902075264 +27 05 48.999114816;5.399;4.568;nan
V* S CrB;15 21 23.9553294936 +31 22 02.584877304;7.15;5.8;8.12
* omi CrB;15 20 08.5586504208 +29 36 58.345262280;6.53;5.51;nan
* chi Boo;15 14 29.1587474040 +29 09 51.466943700;5.326;5.272;nan
* eta CrB;15 23 12.30535 +30 17 16.1701;5.56;4.98;4.5
* eta CrB B;15 23 12.270456 +30 17 18.45708;6.48;5.95;nan
* tet CrB;15 32 55.78214 +31 21 32.8762;4;4.13;4.18
* pi. CrB;15 43 59.2993397040 +32 30 56.901294504;6.648;5.575;nan
M 13;16 41 41.634 +36 27 40.75;nan;5.8;nan
* c Her;17 08 02.0616892056 +35 56 06.679215960;5.7;5.39;nan
* pi. Her;17 15 02.8343634 +36 48 32.984340;4.61;3.18;2.22
HD 156891;17 18 23.2681401216 +38 48 41.044598856;6.978;5.962;nan
* e Her;17 17 40.2531980520 +37 17 29.422635288;4.7;4.65;4.56
* rho Her A;17 23 40.9345685112 +37 08 45.326495940;4.476;4.51;nan
* rho Her B;17 23 40.7169795456 +37 08 48.424956288;5.395;5.398;nan
* tet Her;17 56 15.1805442 +37 15 01.934351;5.23;3.88;2.98
* zet01 Lyr;18 44 46.3573535 +37 36 18.417053;4.55;4.36;4.21
* zet02 Lyr;18 44 48.1991867472 +37 35 40.558542576;5.871;5.585;nan
* alf Lyr;18 36 56.33635 +38 47 01.2802;0.03;0.03;0.07
* del01 Lyr;18 53 43.5591448728 +36 58 18.187643568;5.425;5.573;nan
NAME del Lyr Cluster;18 54 16.3 +36 53 56;4.58;3.8;nan
* del02 Lyr;18 54 30.2833502 +36 53 55.013331;5.97;4.3;2.52
V* V542 Lyr;18 58 01.8981886272 +38 15 58.279524552;5.787;5.883;nan
* iot Lyr;19 07 18.1323268968 +36 06 00.572464476;5.137;5.253;nan
* 4 Cyg;19 26 09.1269274848 +36 19 04.432147356;5.03;5.15;nan
* 8 Cyg;19 31 46.3218386 +34 27 10.687443;4.6;4.72;nan
* eta Cyg;19 56 18.3722223 +35 05 00.322759;4.91;3.88;3.19
HD 192787;20 15 23.7687076080 +33 43 44.709183120;6.632;5.698;nan
* 39 Cyg;20 23 51.6206989 +32 11 24.619097;5.77;4.44;3.43
HD 196852;20 38 59.5165799664 +30 20 03.361033608;6.757;5.673;nan
* 52 Cyg;20 45 39.7530399 +30 43 10.975578;5.29;4.23;3.46
* del Boo;15 15 30.1629518 +33 18 53.392558;4.44;3.49;2.76
* 50 Boo;15 21 48.5751139296 +32 56 01.298173056;5.312;5.372;nan
HD 135438;15 14 06.0426931656 +31 47 16.245370536;7.535;5.974;nan
HD 137704;15 26 17.3836561800 +34 20 09.582364176;6.873;5.45;nan
* kap CrB;15 51 13.9312943632 +35 39 26.573691158;5.82;4.82;4.06
HD 143435;15 58 57.7157115888 +36 38 37.574245968;7.132;5.586;nan
HD 144208;16 03 19.3643869944 +36 37 54.435536976;6.377;5.804;nan
* tau CrB;16 08 58.3089242491 +36 29 27.134047440;5.75;4.73;4.01
HD 145849;16 11 48.0553638168 +36 25 30.341129808;6.981;5.615;nan
* 25 Her;16 25 24.1688222784 +37 23 38.586829272;5.71;5.54;nan
* eta Her;16 42 53.7650947 +38 55 20.112868;4.42;3.5;2.83
USNO-A2.0 1275-09035765;16 42 49.2791374416 +39 46 38.460357696;16.05;5.43;nan
HD 155410;17 09 33.2466658224 +40 46 37.337081772;6.339;5.065;nan
V* V819 Her;17 21 43.6105947240 +39 58 28.805498832;6.222;5.561;nan
HD 159501;17 33 07.2574258368 +41 14 36.422837952;6.816;5.726;nan
* f Her;17 53 18.0271341744 +40 00 28.661302980;6.35;5.15;nan
* mu. Lyr;18 24 13.7856277752 +39 30 26.057187144;5.14;5.12;nan
* eps01 Lyr A;18 44 20.3437462368 +39 40 12.465005484;5.111;4.991;nan
* eps01 Lyr;18 44 20.34589 +39 40 12.4533;4.82;4.66;nan
* eps02 Lyr;18 44 22.78056 +39 36 45.7851;5.43;5.23;5.93
* eps02 Lyr A;18 44 22.7790116856 +39 36 45.772569396;5.4;5.23;nan
* eps02 Lyr B;18 44 22.9834616736 +39 36 46.061180640;5.58;5.35;nan
* eta Lyr;19 13 45.4883231 +39 08 45.480091;4.243;4.398;nan
* tet Lyr;19 16 22.0948728 +38 08 01.423443;5.64;4.38;3.51
HD 187235;19 47 27.7798689264 +38 24 27.412726248;5.728;5.824;nan
* 19 Cyg;19 50 33.9954509952 +38 43 20.705132352;6.81;5.12;nan
* 15 Cyg;19 44 16.6052015928 +37 21 15.682143024;5.83;4.887;nan
HD 188650;19 54 48.2511091584 +36 59 44.434621176;6.549;5.781;nan
* 25 Cyg;19 59 55.1953945704 +37 02 34.387660896;5.02;5.19;nan
* b03 Cyg;20 14 32.0323540824 +36 48 22.700909124;5.11;4.99;4.79
NGC 6871;20 06 11.5 +35 45 54;5.43;5.2;nan
* b02 Cyg;20 09 25.6190611128 +36 50 22.633958400;4.8;4.93;nan
* 35 Cyg;20 18 39.0719928336 +34 58 57.973987704;5.803;5.162;nan
* 47 Cyg;20 33 54.1880917512 +35 15 03.039046848;6.145;4.636;nan
* eps Cyg;20 46 12.6823609 +33 58 12.924926;3.52;2.48;1.73
* 49 Cyg;20 41 02.5422151056 +32 18 26.238680208;6.672;5.638;nan
HD 133392;15 03 06.0545719608 +35 12 20.859280632;6.539;5.513;nan
* 7 CrB A;15 39 22.6728430896 +36 38 08.919815568;4.871;4.979;nan
* lam CrB;15 55 47.5872829824 +37 56 49.044936768;5.77;5.424;nan
HD 147365;16 19 55.1422052928 +39 42 30.900428748;5.88;5.48;nan
* g Her;16 28 38.5485851 +41 52 54.040593;6.53;5.01;2.49
* sig Her;16 34 06.1824264648 +42 26 13.234150680;4.177;4.196;6.02
V* V636 Her;16 47 19.7469474888 +42 14 20.097704616;7.48;5.87;nan
HD 166208;18 07 28.7442485448 +43 27 42.802503948;5.915;4.997;nan
HD 167965;18 15 38.7772989120 +42 09 33.644876184;5.434;5.556;nan
HD 175740;18 54 52.1770054656 +41 36 09.800403372;6.49;5.44;nan
* 13 Lyr;18 55 20.1022285 +43 56 45.931489;5.59;4;1.95
HD 184875;19 34 41.2614254400 +42 24 45.052371036;5.396;5.336;nan
HD 186619;19 43 45.0965622360 +41 46 23.199657276;7.41;5.84;nan
V* V380 Cyg;19 50 37.3267754400 +40 35 59.135141652;5.613;5.68;nan
HD 189178;19 57 13.8676056936 +40 22 04.173175488;5.352;5.455;nan
* 22 Cyg;19 55 51.7609131816 +38 29 12.188844204;4.846;4.946;nan
HD 194335;20 23 44.3690462664 +37 28 35.209455780;5.7;5.9;nan
* P Cyg;20 17 47.2020844 +38 01 58.552724;5.24;4.82;4.28
* 36 Cyg;20 18 28.6552175232 +36 59 59.295169896;5.64;5.58;nan
* 40 Cyg;20 27 34.2590464440 +38 26 25.262381940;5.68;5.62;nan
* 42 Cyg;20 29 20.3901455688 +36 27 17.017726104;6.291;5.899;nan
* lam Cyg;20 47 24.53766 +36 29 26.5737;4.43;4.54;4.58
V* T Cyg;20 47 10.7523451296 +34 22 26.841017100;6.224;4.93;5.33
HD 199101;20 53 53.8916816088 +33 26 16.413219312;6.99;5.47;nan
HD 74824;08 44 51.9266804280 -37 08 50.104022820;5.582;5.722;nan
HD 76110;08 52 48.0174107256 -38 43 26.717400012;7.329;5.806;nan
HD 72832;08 33 38.4310487112 -38 50 55.725923184;5.785;5.908;nan
* h02 Pup;08 14 02.9293688256 -40 20 52.321700292;5.61;4.44;3.6
V* V336 Pup;08 02 44.7832446360 -41 18 35.371028736;5.358;5.497;nan
HD 65460;07 56 57.8005474296 -43 30 01.448159472;5.182;5.346;nan
* sig Pup;07 29 13.8304917 -43 18 05.159662;4.77;3.25;2.04
* M Pup;07 18 04.2493205712 -43 59 12.428835180;5.727;5.839;nan
* L01 Pup;07 13 13.3506005472 -45 10 57.855357732;4.855;4.874;nan
* L02 Pup;07 13 32.3185436236 -44 38 22.951891964;6.66;5.1;2.49
* X Pup;06 49 54.6163443500 -46 36 52.421710574;5.59;5.14;nan
HD 38871;05 46 27.3724390824 -46 35 49.858502028;6.342;5.302;nan
HD 36734;05 31 36.0022600416 -45 55 31.145028924;7.214;5.844;nan
HD 36553;05 30 09.4789496328 -47 04 39.556146828;6.065;5.453;nan
IDS 05274-4709 ABC;05 30 08.1 -47 04 33;6.07;5.45;nan
* del Cae;04 30 50.0997379776 -44 57 13.499643852;4.864;5.059;nan
HD 27588;04 19 16.6964561208 -44 16 04.504067652;6.404;5.332;nan
* del Hor;04 10 50.5892738 -41 59 36.853749;5.26;4.93;4.58
* alf Hor;04 14 00.1142226166 -42 17 39.726755131;4.96;3.86;3
* y Eri;03 37 05.6780365944 -40 16 28.777210320;5.62;4.58;3.74
* k01 Vel;09 14 57.1711337256 -37 36 08.745702300;6.676;5.85;nan
* l Vel;09 15 36.7081382568 -38 34 11.794659636;6.05;4.94;4.15
* k Vel;09 15 45.0797665800 -37 24 47.317883724;5.07;4.62;4.24
* h Vel;08 49 39.1589060688 -40 19 12.567955296;5.53;5.465;nan
V* NY Vel;08 40 19.1757463872 -40 15 49.936471416;5.19;5.2;nan
* e Vel;08 37 38.6327804 -42 59 20.689445;4.24;4.14;3.98
HD 71459;08 25 51.9104833344 -42 09 11.070430416;5.27;5.42;nan
HD 68217;08 09 35.9137276680 -44 07 21.962716896;5.01;5.183;nan
HD 68601;08 11 25.8917414 -42 59 14.198778;4.93;4.75;4.51
HD 67582;08 06 40.3393413456 -45 15 57.653677008;6.502;5.021;nan
* O Pup;07 57 51.7191599448 -45 34 39.608613012;6.389;5.123;nan
HD 65904;07 59 01.8013864056 -45 12 57.022009884;5.823;5.963;nan
* N Pup;07 57 18.4216067 -44 06 35.493161;4.899;5.064;nan
HD 62644;07 42 57.0956033291 -45 10 23.215489084;5.84;5.04;nan
HD 63578;07 47 31.5055471560 -46 36 30.563725932;5.053;5.208;nan
* Q Pup;07 48 20.1604257 -47 04 39.798540;5.77;4.71;3.95
* P Pup;07 49 14.2953578 -46 22 23.542204;3.93;4.11;4.19
V* QS Pup;07 49 12.8625152304 -46 51 27.787514724;5.662;5.805;nan
HD 56813;07 16 15.4731774576 -46 46 28.319636028;7.067;5.622;nan
* I Pup;07 12 33.6251363845 -46 45 33.496585918;4.81;4.49;4.17
V* PR Pup;07 14 46.0175443680 -46 50 58.816741128;5.602;5.715;nan
HD 55526;07 10 47.4827852712 -48 55 55.549614540;6.38;5.09;nan
HD 56456;07 14 38.1406186 -48 16 18.942036;4.66;4.76;4.77
HD 51799;06 56 15.9899939 -48 43 16.125750;6.64;4.95;3.47
* V Pup;06 38 37.6357344120 -48 13 12.661228668;6.02;5.03;nan
HD 46273A;06 29 49.063438 -50 14 20.70448;6.29;5.93;nan
* G Pup;06 25 43.65308 -48 10 36.8367;5.7;5.76;nan
* eta01 Pic;05 02 48.6860731776 -49 09 05.062859424;5.796;5.372;nan
* eta02 Pic;05 04 58.0142014896 -49 34 40.202725008;6.47;5.01;3.81
HD 21882;03 29 55.1472825696 -42 38 03.318856548;5.955;5.753;nan
* psi For;02 53 34.3968771720 -38 26 13.204533912;6.359;5.926;nan
HD 80170;09 16 57.0762015552 -39 24 05.536849500;6.473;5.304;nan
* w Vel;09 00 05.4090531 -41 15 12.978920;5.088;4.446;nan
HD 77475;09 01 20.8651115472 -41 51 51.334341876;5.408;5.541;nan
* d Vel;08 44 23.9470741416 -42 38 57.398847432;4.917;4.046;nan
HD 74167;08 40 35.2586920584 -45 11 27.970734048;7.304;5.648;nan
HD 74371;08 41 56.9097314184 -45 24 38.562399648;5.378;5.227;6.75
Cl Pismis 4;08 35 09.6 -44 24 25;6.16;5.9;nan
HD 72127;08 29 27.48346 -44 43 29.3236;4.95;5.15;6.59
HD 72067;08 29 07.56710 -44 09 37.4914;5.67;5.84;nan
HD 72127A;08 29 27.485 -44 43 29.35;5.01;5.19;nan
HD 69302;08 14 23.8716677 -45 50 04.281661;5.661;5.836;nan
HD 72232;08 29 45.6347536464 -46 19 54.115451688;5.838;5.969;nan
* gam01 Vel;08 09 29.3175369840 -47 20 43.013412312;3.995;4.173;nan
V* NO Vel;08 13 36.1528771104 -46 59 29.862036384;4.981;5.127;nan
HD 68657;08 11 10.7898042000 -48 27 43.173401940;5.66;5.806;nan
V* AH Vel;08 11 59.9667243312 -46 38 39.658236936;6.35;5.76;nan
* gam02 Vel;08 09 31.95013 -47 20 11.7108;1.58;1.83;1.85
V* IS Vel;08 09 43.1541985440 -47 56 13.890437304;5.017;5.217;nan
HD 66210;08 00 14.6892205200 -48 58 53.441480028;6.033;5.996;nan
HD 68161;08 09 09.5046268608 -48 41 03.877712232;5.544;5.654;nan
V* V Pup;07 58 14.4391988 -49 14 41.680272;4.24;4.41;nan
* J Pup;07 53 18.1579197 -48 06 10.563676;4.1;4.24;4.26
* y03 Pup;07 38 18.2084341776 -48 36 05.164557768;6.314;5.658;6.94
HD 64740;07 53 03.6353775 -49 36 46.952967;4.4;4.63;4.76
* y02 Pup;07 36 43.9200776760 -48 49 48.597675348;5.637;5.68;nan
HD 59219;07 26 21.8498874360 -51 01 06.530504628;6.119;5.081;nan
* 23 Car;07 00 51.4852321368 -51 24 09.309494916;6.77;5.151;nan
HD 54732;07 07 13.2812635560 -51 58 05.785273560;6.955;5.952;nan
* H Pup;07 03 53.6021248032 -49 35 02.179401108;5.045;4.925;nan
* tau Pup;06 49 56.1684595 -50 36 52.443676;4.13;2.93;nan
HD 49689;06 46 52.6732787832 -51 15 56.404306512;6.677;5.379;nan
HD 49517;06 45 53.7176421312 -52 24 34.887188124;7.326;5.761;nan
HD 46569;06 31 18.3309320376 -51 49 33.456173988;6.102;5.573;nan
* N Car;06 34 58.5799290 -52 58 32.191880;4.37;4.4;nan
HD 45291;06 23 37.7887883088 -52 10 51.280615920;6.996;5.951;nan
* alf Car;06 23 57.10988 -52 41 44.3810;-0.59;-0.74;-0.96
HD 41214;06 00 49.1699326416 -51 12 58.754453148;5.843;5.647;nan
HD 39640;05 50 53.2214839800 -52 06 31.947223788;6.142;5.166;nan
HD 40292;05 54 50.0913164112 -52 38 07.730200752;5.6;5.29;nan
* bet Pic;05 47 17.0876901 -51 03 59.441135;4.03;3.86;3.74
* zet Pic;05 19 22.1350114344 -50 36 21.481796808;5.96;5.45;nan
* lam Pic;04 42 46.4236059024 -50 28 52.805508204;6.275;5.298;nan
HD 23719;03 45 15.8761413144 -47 21 34.111078056;6.678;5.708;nan
HD 24706;03 53 33.3431392008 -46 53 37.265782632;7.164;5.921;nan
HD 20121;03 12 25.74558 -44 25 10.7932;6.37;5.93;nan
* e Eri;03 19 55.6509122226 -43 04 11.215188426;4.98;4.27;3.65
HD 16975;02 42 06.6072699192 -38 23 01.273215804;6.909;5.988;nan
* iot Eri;02 40 40.0350054 -39 51 19.354141;5.114;4.116;nan
* psi Vel;09 30 41.99958 -40 28 00.2616;3.96;3.6;3.24
* psi Vel A;09 30 41.9257584910 -40 28 00.590987737;4.25;3.91;nan
* psi Vel B;09 30 42.0377963061 -40 28 00.327620298;5.65;5.12;nan
HD 82694;09 32 19.2774344738 -40 38 57.613425274;6.32;5.4;nan
HD 81034;09 21 50.9868415440 -42 11 41.496827640;7.17;5.572;nan
* z Vel;09 14 24.4858461336 -43 13 38.961975828;5.11;5.25;nan
HR 3661;09 12 30.52282 -43 36 47.7371;5.46;5.562;nan
HD 79694;09 14 08.2100812248 -44 08 44.952535428;5.73;5.85;nan
HD 80108;09 16 23.0352826392 -44 15 56.635555608;6.763;5.094;nan
* lam Vel;09 07 59.75787 -43 25 57.3273;3.86;2.21;0.97
HD 79186;09 11 04.3980934536 -44 52 04.448548776;5.22;5;4.71
* g Vel;08 49 47.6382779760 -45 18 28.346215644;4.972;4.935;nan
* a Vel;08 46 01.6439147 -46 02 29.504226;3.91;3.91;3.86
HD 75149;08 46 30.5469120768 -45 54 45.019158300;5.677;5.459;6.77
HD 75276;08 47 18.8443975992 -46 09 19.498578984;6.263;5.748;6.73
* f Vel;08 50 33.4606230120 -46 31 45.075306720;4.9;5.11;5.2
* b Vel;08 40 37.5701711 -46 38 55.476997;4.52;3.81;3.16
IC 2395;08 42 31.0 -48 06 00;nan;4.6;nan
V* HX Vel;08 42 16.1937151 -48 05 56.725879;5.288;5.468;7.877
* n Vel;08 41 13.1290014504 -47 19 01.669533384;4.89;4.77;4.56
* B Vel;08 22 31.69411 -48 29 25.3631;4.67;4.82;4.86
* 16 Vel;08 13 34.2467058072 -50 11 45.870730116;7.13;5.514;nan
HD 67249;08 04 42.3996195240 -50 35 25.426924188;7.146;5.943;nan
HD 64225;07 50 23.8228575624 -50 30 34.081354872;6.99;5.907;nan
* Q Car;07 35 39.7223031408 -52 32 01.809116484;6.318;4.92;nan
HD 57917;07 20 38.8057732104 -52 05 09.320821944;5.293;5.367;nan
HD 57852;07 20 21.4227852720 -52 18 41.490780084;6.373;5.953;6.84
HD 60060;07 29 59.7226034784 -52 39 04.164546672;6.876;5.863;nan
HD 56705;07 15 21.2261303976 -52 29 57.207006024;7.062;5.947;nan
V* V415 Car;06 49 51.3141446 -53 37 20.818154;5.323;4.408;nan
V* V448 Car;06 47 18.7083113184 -55 32 23.964004428;7.19;5.61;nan
* del Pic;06 10 17.9080767 -54 58 07.113429;4.58;4.81;nan
* gam Pic;05 49 49.6618144 -56 09 59.980752;5.589;4.494;nan
* iot Pic A;04 50 55.3296563952 -53 27 41.529115332;5.86;5.57;nan
* gam Dor;04 16 01.5866224848 -51 29 11.932714356;4.55;4.2;nan
HD 20640;03 17 26.5914581280 -47 45 06.092985276;7.064;5.833;nan
V* TU Hor;03 30 36.9540026808 -47 22 30.449151624;6.077;5.968;nan
HD 19141;03 02 55.8632391288 -46 58 30.098615844;7.122;5.799;nan
* s Eri;02 39 47.9753006640 -42 53 30.519103344;4.81;4.75;nan
* y Vel;09 38 01.4514238848 -43 11 27.384240840;6.5;5.5;nan
HD 81136;09 22 23.9924494824 -46 02 50.798835276;6.649;5.729;nan
* c Vel;09 04 09.2798814 -47 05 51.854750;4.95;3.75;2.93
HD 79275;09 11 33.3821694024 -46 35 02.077742148;5.575;5.769;nan
HD 79621;09 13 34.4533435512 -47 20 18.262388040;5.87;5.92;nan
V* FZ Vel;08 58 52.3517175576 -47 14 04.859271204;5.397;5.146;nan
HD 76161;08 52 38.6066911992 -48 21 32.717223072;5.749;5.889;nan
HD 77020;08 57 55.5587975136 -48 34 22.473827040;6.944;5.876;nan
HD 76360;08 53 50.6044403064 -47 31 14.519124552;5.566;5.302;nan
* D Vel;08 43 40.2730174416 -49 49 22.082995200;4.96;5.16;6.76
HD 74273;08 41 05.3198654376 -48 55 21.652130928;5.695;5.879;nan
* C Vel;08 34 43.5965158752 -49 56 39.127662240;6.34;5.01;4.04
* 47 Vel;08 35 52.0273953624 -50 58 10.728609996;5.651;5.782;nan
HD 71043;08 22 55.1581878672 -52 07 25.424206824;5.9;5.887;nan
HD 71510;08 25 31.3249894224 -51 43 38.688733380;5.01;5.17;nan
* F Vel;08 27 36.5859577464 -53 05 18.523521528;5.327;5.073;nan
* chi Car;07 56 46.7200933968 -52 58 56.443666728;3.267;3.431;nan
HD 67364;08 05 03.7092553416 -53 06 28.515503448;6.856;5.509;nan
HD 66441;08 00 49.9383912264 -54 09 04.586535216;5.708;5.846;nan
V* V372 Car;07 52 29.7416381280 -54 22 01.788879000;5.529;5.68;nan
HD 60228;07 30 30.9186521808 -54 23 57.713571348;7.503;5.941;nan
V* V386 Car;07 04 18.3094021056 -56 44 58.928100288;5.13;5.17;nan
* nu. Pic;06 22 55.8302200968 -56 22 11.880632820;5.834;5.598;nan
* 61 Pic;06 29 28.4981358720 -56 51 09.960678828;6.283;5.197;nan
HD 45984;06 27 04.1367673632 -58 00 07.626931236;7.105;5.816;nan
* mu. Pic;06 31 58.3101113280 -58 45 13.811376348;5.57;5.64;nan
HD 39937;05 52 20.2014186048 -57 09 22.281455484;6.582;5.948;nan
* zet Dor;05 05 30.6556741368 -57 28 21.736898832;5.215;4.708;nan
* alf Dor;04 33 59.77719 -55 02 41.9243;3.18;3.28;3.29
HD 22231;03 32 34.8024506376 -50 22 43.123102464;6.77;5.658;nan
HD 13940;02 14 31.9450100712 -41 10 00.346250820;6.872;5.907;nan
HD 84816;09 46 30.3704433024 -44 45 18.215913204;5.385;5.55;nan
HD 74146;08 39 57.5984976576 -53 03 17.016627132;5.05;5.19;nan
* omi Vel;08 40 17.5855320 -52 55 18.800233;3.44;3.63;nan
HD 74196;08 40 17.4649643448 -53 00 55.430609904;5.47;5.61;nan
V* HY Vel;08 42 25.3866034128 -53 06 50.343377699;4.655;4.815;nan
V* HW Vel;08 39 23.8445033904 -53 26 23.167592268;5.291;5.439;nan
* H Vel;08 56 19.2630167160 -52 43 24.506826528;4.591;4.723;nan
V* KT Vel;08 42 18.9920732 -53 06 00.201557;5.34;5.474;nan
HD 68434;08 09 33.6253245096 -56 05 07.268216640;5.852;5.648;nan
HD 65273;07 54 53.3173342224 -57 18 10.108255140;6.926;5.613;nan
HD 64067;07 49 06.7214872680 -56 24 37.309550976;6.67;5.57;nan
HD 45557;06 24 13.8423772968 -60 16 52.762590552;5.767;5.766;nan
* lam Dor;05 26 19.2657732072 -58 54 45.064020096;6.107;5.129;nan
* kap Dor;04 44 21.1783353240 -59 43 57.856305684;5.467;5.282;nan
V* R Hor;02 53 52.7701013592 -49 53 22.730520228;nan;3.92;4.99
* kap Eri;02 26 59.1217747 -47 42 13.824757;4.11;4.25;4.28
HD 13336;02 09 09.2923630368 -43 30 59.742871920;7.042;5.83;nan
HD 12296;01 59 38.8150621128 -42 01 49.916493588;6.62;5.563;nan
HD 88399;10 10 37.7185100064 -41 42 54.890908560;7.222;5.965;nan
* q Vel;10 14 44.1557297 -42 07 18.993292;3.9;3.85;3.83
HD 85980;09 54 17.6550610104 -45 17 00.647433708;5.68;5.81;nan
* u Vel;09 49 57.1405971336 -45 43 57.852859656;4.984;5.084;nan
HD 85563;09 51 19.7248935600 -46 11 37.756373208;6.795;5.617;nan
* m Vel;09 51 40.6683101976 -46 32 51.440101044;5.78;4.58;3.75
HD 85483;09 50 41.9326260528 -46 56 02.108473332;6.808;5.711;nan
HD 82984;09 33 44.53887 -49 00 18.2741;5;5.12;nan
HD 82984A;09 33 44.5371157464 -49 00 18.270609696;5.44;5.56;nan
* M Vel;09 36 49.5400392 -49 21 18.088075;4.52;4.35;4.2
* K Vel;09 18 05.8712167824 -51 03 03.083892552;5.184;5.254;nan
HD 80558;09 18 42.3559197816 -51 33 38.338564212;6.47;5.93;5.36
HD 82419;09 30 05.1099276672 -51 31 01.792481664;5.39;5.46;nan
* L Vel;09 34 08.7932661 -51 15 18.953593;5.01;5.03;nan
HD 76653;08 55 11.7819040008 -54 57 56.768010084;6.171;5.698;nan
HD 76346;08 53 03.7790012472 -56 38 58.147535688;5.982;5.998;nan
* f Car;08 46 42.5492831 -56 46 11.192208;4.31;4.49;4.59
* del Vel;08 44 42.22658 -54 42 31.7493;2;1.95;nan
HD 70839;08 21 12.0991599408 -57 58 23.592023796;5.849;5.954;nan
* e02 Car;08 35 19.7051171712 -58 00 33.252679512;5.845;4.847;nan
* e01 Car;08 35 15.5552864712 -58 13 29.060352660;5.097;5.234;nan
* eps Car;08 22 30.83526 -59 30 34.1431;3.13;1.86;nan
HD 64185;07 49 12.9403448856 -60 17 01.368944088;6.176;5.771;nan
HD 65907;07 57 46.9142992394 -60 18 11.058944907;6.17;5.6;nan
HD 65662;07 56 18.6483286488 -60 31 35.166305856;7.266;5.717;nan
HD 66194;07 58 50.5509433080 -60 49 28.060460040;5.72;5.81;5.77
V* V460 Car;07 59 37.5423065376 -60 35 13.423848216;6.91;5.18;nan
* alf Pic;06 48 11.45512 -61 56 29.0008;3.48;3.3;nan
HD 42540;06 07 03.4067093808 -62 09 16.449639408;6.294;5.041;nan
* 36 Dor;05 54 06.0545851778 -63 05 23.209034464;5.7;4.66;nan
* G Dor;05 32 59.5689417 -64 13 39.063917;6.365;5.341;nan
* bet Dor;05 33 37.5159729864 -62 29 23.376457680;4.58;3.76;3.55
V* WZ Dor;05 07 34.0268609928 -63 23 58.847362584;6.776;5.205;nan
HD 29399;04 33 33.9493392408 -62 49 25.236915132;6.822;5.78;nan
V* R Dor;04 36 45.59127 -62 04 37.7974;6.98;5.4;2.71
HD 28413;04 25 05.3369366208 -61 14 17.491400700;7.467;5.922;nan
HD 28732;04 27 46.0288535640 -62 31 16.331273292;6.739;5.735;7.001
* iot Ret;04 01 18.1510074770 -61 04 43.762525702;6.37;4.956;nan
* eps Ret;04 16 29.0281470260 -59 18 07.755891304;5.52;4.44;3.62
V* TW Hor;03 12 33.1599109680 -57 19 17.577229512;7.93;5.71;3.78
* eta Hor;02 37 24.3486279936 -52 32 35.192050404;5.569;5.293;nan
* iot Hor;02 42 33.4666679022 -50 48 01.055138166;5.97;5.4;nan
* chi Phe;02 01 42.3763488264 -44 42 48.626334576;6.63;5.14;3.92
* phi Phe;01 54 22.0319152104 -42 29 48.942141036;5.055;5.109;nan
HD 89062;10 15 31.5589280592 -43 06 44.531371332;7.086;5.561;nan
HD 87783A;10 06 11.2118963703 -47 22 11.985459982;6.22;5.22;nan
HD 86087;09 54 51.2307192408 -50 14 38.256922824;5.706;5.705;nan
HD 85953;09 53 50.0989236576 -51 08 48.155931060;5.777;5.932;nan
* I Vel;09 26 17.9571978576 -53 22 44.069701260;4.976;5.089;nan
HD 83520;09 37 12.65194 -53 40 06.6340;5.592;5.467;nan
* kap Vel;09 22 06.8176100 -55 00 38.401683;2.324;2.473;nan
HD 81157;09 21 50.0423159256 -55 30 52.878915072;5.799;5.608;nan
HD 79846;09 14 17.9904977496 -55 34 10.667428428;6.234;5.254;nan
* g Car;09 16 12.0728569 -57 32 29.300662;5.941;4.318;nan
HD 76113;08 51 36.5159380776 -57 38 00.872167272;5.48;5.59;nan
* b01 Car;08 56 58.4171817096 -59 13 45.615428400;4.721;4.895;nan
* b02 Car;08 59 24.1816749896 -59 05 01.362386263;5.58;5.16;nan
* d Car;08 40 37.0275818 -59 45 39.606711;4.182;4.313;nan
* B Car;08 09 00.6369168474 -61 18 08.545898653;5.163;4.742;nan
* D01 Car;08 00 19.9667811 -63 34 02.842048;4.639;4.806;nan
* eta02 Dor;06 11 14.9816489784 -65 35 21.904881180;6.63;5.01;3.51
* eta01 Dor;06 06 09.3817676280 -66 02 22.635231936;5.679;5.69;nan
* del Dor;05 44 46.3781065 -65 44 07.901098;4.57;4.36;4.1
* eps Dor;05 49 53.5210670 -66 54 04.278670;4.97;5.11;nan
* alf Ret;04 14 25.4841381 -62 28 25.891671;4.27;3.36;2.71
HD 27304;04 14 48.5452781856 -62 11 30.520603428;6.57;5.46;nan
* eta Ret;04 21 53.3257380336 -63 23 11.006748852;6.2;5.24;nan
* del Ret;03 58 44.7494486 -61 24 00.667328;6.19;4.57;3.23
* gam Ret;04 00 53.8085989 -62 09 33.425014;6.12;4.5;2.84
* mu. Hor;03 03 36.8187799608 -59 44 15.988527744;5.454;5.122;nan
* zet Hor;02 40 39.6133475112 -54 32 59.682907572;5.61;5.21;nan
HD 14943;02 22 54.6750661920 -51 05 31.659759744;6.101;5.898;nan
* phi Eri;02 16 30.5856318 -51 30 43.795513;3.45;3.57;3.64
